Type,Trans Date,Post Date,Description,Amount
Payment,05/05/2017,1/31/2018,proin eu mi,$41.08
Sale,10/02/2017,12/12/2017,pharetra magna vestibulum aliquet,$9.90
Sale,01/31/2018,9/9/2017,convallis tortor risus dapibus augue,$29.50
Payment,02/26/2018,2/10/2018,lectus vestibulum quam,$8.99
Payment,05/16/2017,10/19/2017,ultrices posuere cubilia curae duis faucibus,$2.89
Sale,11/06/2017,1/31/2018,mi in porttitor pede,$-28.46
Sale,01/06/2018,6/30/2017,potenti nullam porttitor,$18.18
Sale,06/29/2017,3/3/2018,justo in blandit ultrices enim lorem,$-87.37
Payment,10/05/2017,9/4/2017,non ligula pellentesque ultrices phasellus id,$-93.03
Sale,03/07/2018,9/24/2017,faucibus orci luctus et ultrices posuere,$23.44
Payment,11/01/2017,9/21/2017,vulputate justo in blandit ultrices enim,$-40.56
Payment,04/19/2018,7/8/2017,lobortis ligula sit amet eleifend,$47.81
Sale,04/03/2018,9/10/2017,aliquam augue quam sollicitudin vitae consectetuer,$3.05
Payment,05/21/2017,4/13/2017,turpis eget elit sodales scelerisque,$-17.39
Sale,06/28/2017,4/28/2017,posuere cubilia curae mauris viverra diam,$-60.69
Payment,10/08/2017,4/29/2017,ut at dolor quis odio,$-48.04
Sale,04/15/2017,11/28/2017,libero nam dui,$-99.03
Sale,06/26/2017,7/25/2017,at lorem integer tincidunt,$92.52
Payment,05/09/2017,11/21/2017,neque sapien placerat ante,$53.98
Sale,04/01/2018,4/9/2018,vel dapibus at diam,$-85.34
Payment,04/20/2018,7/10/2017,eget elit sodales scelerisque mauris sit,$-48.53
Payment,12/07/2017,6/2/2017,tellus nulla ut erat id,$42.59
Sale,10/22/2017,7/27/2017,vestibulum sagittis sapien cum,$-20.60
Payment,02/17/2018,2/3/2018,quis orci eget orci vehicula condimentum,$72.28
Payment,09/01/2017,4/11/2017,dui proin leo odio porttitor,$58.74
Sale,08/03/2017,4/2/2018,suspendisse potenti cras in purus eu,$16.79
Payment,07/22/2017,8/30/2017,vulputate nonummy maecenas tincidunt lacus,$94.76
Payment,07/21/2017,4/18/2017,varius nulla facilisi cras non velit,$-36.04
Payment,01/23/2018,7/4/2017,placerat praesent blandit,$72.10
Sale,12/20/2017,5/2/2017,bibendum imperdiet nullam orci,$-80.51
Payment,05/18/2017,8/8/2017,vestibulum quam sapien,$80.29
Payment,10/07/2017,6/7/2017,justo eu massa donec dapibus duis,$55.79
Payment,10/22/2017,4/28/2017,leo rhoncus sed vestibulum sit,$-89.96
Sale,12/30/2017,4/18/2017,nec nisi volutpat eleifend donec ut,$-17.02
Payment,01/09/2018,3/1/2018,nisl duis ac nibh fusce lacus,$25.74
Sale,07/13/2017,9/26/2017,at dolor quis odio consequat,$33.06
